county|total_area|deer_range|deer_range_percent|public_land|public_land_percent|deer_range_on_public_land
Adams|688|526|76|72|11|67
Ashland|814|769|94|453|56|450
Barron|890|520|58|49|6|45
Bayfield|1482|1391|94|814|55|803
Brown|535|158|30|3|2|7
Buffalo|709|527|74|55|8|29
Burnett|880|759|86|314|36|299
Calumet|397|77|19|19|5|14
Chippewa|1041|667|64|82|8|77
Clark|1218|771|63|223|18|221
Columbia|795|379|48|40|5|33
Crawford|599|483|81|69|12|44
Dane|1237|428|35|41|3|34
Dodge|907|272|30|72|8|58
Door|489|300|61|39|8|37
Douglas|1339|1252|94|669|50|659
Dunn|864|519|60|50|6|43
Eau Claire|645|439|68|97|15|95
Florence|497|475|96|301|61|297
Fond du Lac|765|227|30|43|6|32
Forest|1046|993|95|740|71|726
Grant|1182|523|44|69|6|38
Green|584|139|24|11|2|8
Green Lake|380|179|47|30|8|27
Iowa|767|410|53|36|5|32
Iron|770|712|92|511|66|483
Jackson|999|844|84|328|33|321
Jefferson|582|222|38|35|6|30
Juneau|830|642|80|200|25|186
Kenosha|279|89|32|12|4|10
Kewaunee|344|123|36|6|2|5
La Crosse|480|340|71|52|11|26
Lafayette|634|102|16|11|2|8
Langlade|887|769|87|366|41|361
Lincoln|906|828|91|293|32|290
Manitowoc|596|211|35|18|3|15
Marathon|1575|1073|68|124|8|115
Marinette|1429|1293|90|465|33|458
Marquette|464|366|79|23|5|20
Menominee|365|355|97|0|0|0
Milwaukee|243|46|19|1|0|1
Monroe|814|617|76|50|6|48
Oconto|1017|791|78|307|30|303
Oneida|1234|1085|88|572|46|556
Outagamie|644|218|34|18|3|17
Ozaukee|2345|84|36|6|3|5
Pepin|249|152|61|10|4|9
Pierce|592|294|50|15|3|11
Polk|956|655|68|86|9|79
Portage|822|517|63|59|7|42
Price|1277|1218|95|533|42|525
Racine|340|90|26|7|2|6
Richland|589|477|81|21|4|19
Rock|726|157|22|28|4|13
Rusk|930|836|90|250|27|247
Sauk|848|568|67|62|7|57
Sawyer|1226|1114|91|654|53|643
Shawano|909|634|70|31|3|29
Sheboygan|518|204|39|39|8|33
St Croix|736|282|38|34|5|20
Taylor|984|848|86|265|27|259
Trempealeau|742|514|69|24|3|18
Vernon|816|576|71|49|6|25
Vilas|906|764|84|422|47|410
Walworth|576|198|34|27|5|23
Washburn|853|749|88|295|35|285
Washington|436|209|48|21|5|19
Waukesha|580|284|49|35|6|31
Waupaca|765|526|69|16|2|14
Waushara|637|450|71|34|5|32
Winnebago|578|124|22|21|4|17
Wood|809|569|70|107|13|101